"","Cargo","remuneracao_total","Vinculo","Data","Ano_Ingresso","id","Primeiro_Pgto","Ultimo_Pgto","N_Meses","instrucao","Ano"
"1","AGENTE POLITICO",10021.84,"ELETIVO","2015-01-01",2013,"1","2015","2020",83,"FUNDAMENTAL INCOMPLETO","2015"
"2","AGENTE POLITICO",12000,"ELETIVO","2015-02-01",2013,"1","2015","2020",83,"FUNDAMENTAL INCOMPLETO","2015"
"3","AGENTE POLITICO",12000,"ELETIVO","2015-03-01",2013,"1","2015","2020",83,"FUNDAMENTAL INCOMPLETO","2015"
"4","AGENTE POLITICO",12000,"ELETIVO","2015-04-01",2013,"1","2015","2020",83,"FUNDAMENTAL INCOMPLETO","2015"
"5","AGENTE POLITICO",12000,"ELETIVO","2015-05-01",2013,"1","2015","2020",83,"FUNDAMENTAL INCOMPLETO","2015"
"6","AGENTE POLITICO",18000,"ELETIVO","2015-06-01",2013,"1","2015","2020",83,"FUNDAMENTAL INCOMPLETO","2015"
"7","AGENTE POLITICO",12000,"ELETIVO","2015-07-01",2013,"1","2015","2020",83,"FUNDAMENTAL INCOMPLETO","2015"
"8","AGENTE POLITICO",12000,"ELETIVO","2015-08-01",2013,"1","2015","2020",83,"FUNDAMENTAL INCOMPLETO","2015"
"9","AGENTE POLITICO",12000,"ELETIVO","2015-09-01",2013,"1","2015","2020",83,"FUNDAMENTAL INCOMPLETO","2015"
"10","AGENTE POLITICO",12000,"ELETIVO","2015-10-01",2013,"1","2015","2020",83,"FUNDAMENTAL INCOMPLETO","2015"
"11","AGENTE POLITICO",12000,"ELETIVO","2015-11-01",2013,"1","2015","2020",83,"FUNDAMENTAL INCOMPLETO","2015"
"12","AGENTE POLITICO",24000,"ELETIVO","2015-12-01",2013,"1","2015","2020",83,"FUNDAMENTAL INCOMPLETO","2015"
"13","AGENTE POLITICO",12000,"ELETIVO","2016-01-01",2013,"1","2015","2020",83,"FUNDAMENTAL INCOMPLETO","2016"
"14","AGENTE POLITICO",12000,"ELETIVO","2016-02-01",2013,"1","2015","2020",83,"FUNDAMENTAL INCOMPLETO","2016"
"15","AGENTE POLITICO",12000,"ELETIVO","2016-03-01",2013,"1","2015","2020",83,"FUNDAMENTAL INCOMPLETO","2016"
"16","AGENTE POLITICO",12000,"ELETIVO","2016-04-01",2013,"1","2015","2020",83,"FUNDAMENTAL INCOMPLETO","2016"
"17","AGENTE POLITICO",12000,"ELETIVO","2016-05-01",2013,"1","2015","2020",83,"FUNDAMENTAL INCOMPLETO","2016"
"18","AGENTE POLITICO",16800,"ELETIVO","2016-06-01",2013,"1","2015","2020",83,"FUNDAMENTAL INCOMPLETO","2016"
